datum,ervaring,geslacht,gewichtsklasse,ploeg,naam,zone,trainingype,500_split,aantal_intervallen,intervaltype,interval_afstand,interval_tijd,interval_nummer,rust,machine,spm,2k tijd,2k datum
11-09-2018,1,M,Z,MGH,z47,AT,5x5',1:44.6,5,tijd,,300,1,,ergometer,26,6:19.9,8-12-2018
11-09-2018,1,M,Z,MGH,z47,AT,5x5',1:44.7,5,tijd,,300,2,,ergometer,26,6:19.9,8-12-2018
11-09-2018,1,M,Z,MGH,z47,AT,5x5',1:44.3,5,tijd,,300,3,,ergometer,26,6:19.9,8-12-2018
11-09-2018,1,M,Z,MGH,z47,AT,5x5',1:44.0,5,tijd,,300,4,,ergometer,26,6:19.9,8-12-2018
11-09-2018,1,M,Z,MGH,z47,AT,5x5',1:44.1,5,tijd,,300,5,,ergometer,26,6:19.9,8-12-2018
11-09-2018,1,M,Z,MGH,z48,AT,5x5',,5,tijd,,300,1,,ergometer,26,6:14.4,8-12-2018
11-09-2018,1,M,Z,MGH,z48,AT,5x5',,5,tijd,,300,2,,ergometer,26,6:14.4,8-12-2018
11-09-2018,1,M,Z,MGH,z48,AT,5x5',,5,tijd,,300,3,,ergometer,26,6:14.4,8-12-2018
11-09-2018,1,M,Z,MGH,z48,AT,5x5',,5,tijd,,300,4,,ergometer,26,6:14.4,8-12-2018
11-09-2018,1,M,Z,MGH,z48,AT,5x5',,5,tijd,,300,5,,ergometer,26,6:14.4,8-12-2018
11-09-2018,1,M,Z,MGH,z49,AT,5x5',1:45.6,5,tijd,,300,1,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z49,AT,5x5',1:46.8,5,tijd,,300,2,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z49,AT,5x5',1:48.2,5,tijd,,300,3,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z49,AT,5x5',1:48.5,5,tijd,,300,4,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z49,AT,5x5',1:47.8,5,tijd,,300,5,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z50,AT,5x5',1:47.1,5,tijd,,300,1,,ergometer,26,6:30.2,8-12-2018
11-09-2018,1,M,Z,MGH,z50,AT,5x5',1:45.5,5,tijd,,300,2,,ergometer,26,6:30.2,8-12-2018
11-09-2018,1,M,Z,MGH,z50,AT,5x5',1:44.6,5,tijd,,300,3,,ergometer,26,6:30.2,8-12-2018
11-09-2018,1,M,Z,MGH,z50,AT,5x5',1:43.8,5,tijd,,300,4,,ergometer,26,6:30.2,8-12-2018
11-09-2018,1,M,Z,MGH,z50,AT,5x5',1:42.7,5,tijd,,300,5,,ergometer,26,6:30.2,8-12-2018
11-09-2018,1,M,Z,MGH,z51,AT,5x5',1:45.9,5,tijd,,300,1,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z51,AT,5x5',1:47.5,5,tijd,,300,2,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z51,AT,5x5',1:49.3,5,tijd,,300,3,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z51,AT,5x5',1:49.8,5,tijd,,300,4,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z51,AT,5x5',1:49.6,5,tijd,,300,5,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z52,AT,5x5',1:45.4,5,tijd,,300,1,,ergometer,26,6:22.2,8-12-2018
11-09-2018,1,M,Z,MGH,z52,AT,5x5',1:45.1,5,tijd,,300,2,,ergometer,26,6:22.2,8-12-2018
11-09-2018,1,M,Z,MGH,z52,AT,5x5',1:44.9,5,tijd,,300,3,,ergometer,26,6:22.2,8-12-2018
11-09-2018,1,M,Z,MGH,z52,AT,5x5',1:44.5,5,tijd,,300,4,,ergometer,26,6:22.2,8-12-2018
11-09-2018,1,M,Z,MGH,z52,AT,5x5',1:44.1,5,tijd,,300,5,,ergometer,26,6:22.2,8-12-2018
11-09-2018,1,M,Z,MGH,z53,AT,5x5',1:44.3,5,tijd,,300,1,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z53,AT,5x5',1:45.8,5,tijd,,300,2,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z53,AT,5x5',2:32.5,5,tijd,,300,3,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z53,AT,5x5',1:53.6,5,tijd,,300,4,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z53,AT,5x5',1:53.7,5,tijd,,300,5,,ergometer,26,,8-12-2018
11-09-2018,1,M,Z,MGH,z54,AT,5x5',1:46.2,5,tijd,,300,1,,ergometer,26,6:32.0,8-12-2018
11-09-2018,1,M,Z,MGH,z54,AT,5x5',1:47.8,5,tijd,,300,2,,ergometer,26,6:32.0,8-12-2018
11-09-2018,1,M,Z,MGH,z54,AT,5x5',1:49.0,5,tijd,,300,3,,ergometer,26,6:32.0,8-12-2018
11-09-2018,1,M,Z,MGH,z54,AT,5x5',1:49.9,5,tijd,,300,4,,ergometer,26,6:32.0,8-12-2018
11-09-2018,1,M,Z,MGH,z54,AT,5x5',1:49.1,5,tijd,,300,5,,ergometer,26,6:32.0,8-12-2018
,,,,,,,,,,,,,,,,,,
01-09-2018,1,M,Z,MGH,z47,ED,3x15',,3,tijd,,900,1,,ergometer,20,6:19.9,8-12-2018
01-09-2018,1,M,Z,MGH,z47,ED,3x15',,3,tijd,,900,2,,ergometer,20,6:19.9,8-12-2018
01-09-2018,1,M,Z,MGH,z47,ED,3x15',,3,tijd,,900,3,,ergometer,20,6:19.9,8-12-2018
01-09-2018,1,M,Z,MGH,z48,ED,3x15',,3,tijd,,900,1,,ergometer,20,6:14.4,8-12-2018
01-09-2018,1,M,Z,MGH,z48,ED,3x15',,3,tijd,,900,2,,ergometer,20,6:14.4,8-12-2018
01-09-2018,1,M,Z,MGH,z48,ED,3x15',,3,tijd,,900,3,,ergometer,20,6:14.4,8-12-2018
01-09-2018,1,M,Z,MGH,z49,ED,3x15',,3,tijd,,900,1,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z49,ED,3x15',,3,tijd,,900,2,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z49,ED,3x15',,3,tijd,,900,3,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z50,ED,3x15',,3,tijd,,900,1,,ergometer,20,6:30.2,8-12-2018
01-09-2018,1,M,Z,MGH,z50,ED,3x15',,3,tijd,,900,2,,ergometer,20,6:30.2,8-12-2018
01-09-2018,1,M,Z,MGH,z50,ED,3x15',,3,tijd,,900,3,,ergometer,20,6:30.2,8-12-2018
01-09-2018,1,M,Z,MGH,z51,ED,3x15',2:01.8,3,tijd,,900,1,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z51,ED,3x15',2:01.6,3,tijd,,900,2,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z51,ED,3x15',2:00.8,3,tijd,,900,3,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z52,ED,3x15',2:00.0,3,tijd,,900,1,,ergometer,20,6:22.2,8-12-2018
01-09-2018,1,M,Z,MGH,z52,ED,3x15',2:01.2,3,tijd,,900,2,,ergometer,20,6:22.2,8-12-2018
01-09-2018,1,M,Z,MGH,z52,ED,3x15',2:01.0,3,tijd,,900,3,,ergometer,20,6:22.2,8-12-2018
01-09-2018,1,M,Z,MGH,z53,ED,3x15',1:56.9,3,tijd,,900,1,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z53,ED,3x15',1:58.6,3,tijd,,900,2,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z53,ED,3x15',2:00.9,3,tijd,,900,3,,ergometer,20,,8-12-2018
01-09-2018,1,M,Z,MGH,z54,ED,3x15',1:58.6,3,tijd,,900,1,,ergometer,20,6:32.0,8-12-2018
01-09-2018,1,M,Z,MGH,z54,ED,3x15',1:59.9,3,tijd,,900,2,,ergometer,20,6:32.0,8-12-2018
01-09-2018,1,M,Z,MGH,z54,ED,3x15',2:01.1,3,tijd,,900,3,,ergometer,20,6:32.0,8-12-2018
,,,,,,,,,,,,,,,,,,
08-09-2018,1,M,Z,MGH,z47,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:19.9,8-12-2018
08-09-2018,1,M,Z,MGH,z47,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:19.9,8-12-2018
08-09-2018,1,M,Z,MGH,z47,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:19.9,8-12-2018
08-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:14.4,8-12-2018
08-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:14.4,8-12-2018
08-09-2018,1,M,Z,MGH,z48,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:14.4,8-12-2018
08-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,1,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,2,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z49,ED,3x20',,3,tijd,,1200,3,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z50,ED,3x20',,3,tijd,,1200,1,,ergometer,20,6:30.2,8-12-2018
08-09-2018,1,M,Z,MGH,z50,ED,3x20',,3,tijd,,1200,2,,ergometer,20,6:30.2,8-12-2018
08-09-2018,1,M,Z,MGH,z50,ED,3x20',,3,tijd,,1200,3,,ergometer,20,6:30.2,8-12-2018
08-09-2018,1,M,Z,MGH,z51,ED,3x20',,3,tijd,,1200,1,,ergometer,20,,8-12-2018
08-09-2018,1,M,Z,MGH,z51,ED,3x20',,3,tijd,,1200,2,,ergometer,20,,8-12-2018
