,days_until_2k,man,zwaar,AT,I,ID,ED+,afstand,ED,two_k_tijd_sec,500_split_sec,aantal_intervallen,intervaltype,interval_afstand,interval_nummer
118,73,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,1
119,73,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,2
120,73,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,3
121,73,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,1
122,73,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,2
123,73,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,3
127,73,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,1
128,73,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,2
129,73,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,3
130,73,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,1
131,73,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,2
132,73,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,3
133,73,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,1
134,73,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,2
135,73,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,3
156,63,1,1,0,1,0,0,1,0,3816,38160.0,1,afstand,6000.0,1
157,63,1,1,0,1,0,0,1,0,3904,39040.0,1,afstand,6000.0,1
159,63,1,1,0,1,0,0,1,0,3941,39410.0,1,afstand,6000.0,1
160,63,1,1,0,1,0,0,1,0,3718,37180.0,1,afstand,6000.0,1
161,63,1,1,0,1,0,0,1,0,3894,38940.0,1,afstand,6000.0,1
163,59,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,1
164,59,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,2
165,59,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,3
166,59,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,1
167,59,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,2
168,59,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,3
172,59,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,1
173,59,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,2
174,59,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,3
175,59,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,1
176,59,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,2
177,59,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,3
178,59,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,1
179,59,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,2
180,59,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,3
182,52,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,1
183,52,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,2
184,52,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,3
185,52,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,1
186,52,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,2
187,52,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,3
191,52,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,1
192,52,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,2
193,52,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,3
194,52,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,1
195,52,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,2
196,52,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,3
197,52,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,1
198,52,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,2
199,52,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,3
201,46,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,1
202,46,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,2
203,46,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,3
204,46,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,1
205,46,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,2
206,46,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,3
210,46,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,1
211,46,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,2
212,46,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,3
213,46,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,1
214,46,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,2
215,46,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,3
216,46,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,1
217,46,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,2
218,46,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,3
220,39,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,1
221,39,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,2
222,39,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,2000.0,3
223,39,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,1
224,39,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,2
225,39,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,2000.0,3
229,39,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,1
230,39,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,2
231,39,1,1,0,1,0,0,1,0,3941,39410.0,3,afstand,2000.0,3
232,39,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,1
233,39,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,2
234,39,1,1,0,1,0,0,1,0,3718,37180.0,3,afstand,2000.0,3
235,39,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,1
236,39,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,2
237,39,1,1,0,1,0,0,1,0,3894,38940.0,3,afstand,2000.0,3
239,31,1,1,0,1,0,0,1,0,3816,38160.0,4,afstand,1500.0,1
240,31,1,1,0,1,0,0,1,0,3816,38160.0,4,afstand,1500.0,2
241,31,1,1,0,1,0,0,1,0,3816,38160.0,4,afstand,1500.0,3
242,31,1,1,0,1,0,0,1,0,3816,38160.0,4,afstand,1500.0,4
243,31,1,1,0,1,0,0,1,0,3904,39040.0,4,afstand,1500.0,1
244,31,1,1,0,1,0,0,1,0,3904,39040.0,4,afstand,1500.0,2
245,31,1,1,0,1,0,0,1,0,3904,39040.0,4,afstand,1500.0,3
246,31,1,1,0,1,0,0,1,0,3904,39040.0,4,afstand,1500.0,4
251,31,1,1,0,1,0,0,1,0,3941,39410.0,4,afstand,1500.0,1
252,31,1,1,0,1,0,0,1,0,3941,39410.0,4,afstand,1500.0,2
253,31,1,1,0,1,0,0,1,0,3941,39410.0,4,afstand,1500.0,3
254,31,1,1,0,1,0,0,1,0,3941,39410.0,4,afstand,1500.0,4
255,31,1,1,0,1,0,0,1,0,3718,37180.0,4,afstand,1500.0,1
256,31,1,1,0,1,0,0,1,0,3718,37180.0,4,afstand,1500.0,2
257,31,1,1,0,1,0,0,1,0,3718,37180.0,4,afstand,1500.0,3
258,31,1,1,0,1,0,0,1,0,3718,37180.0,4,afstand,1500.0,4
259,31,1,1,0,1,0,0,1,0,3894,38940.0,4,afstand,1500.0,1
260,31,1,1,0,1,0,0,1,0,3894,38940.0,4,afstand,1500.0,2
261,31,1,1,0,1,0,0,1,0,3894,38940.0,4,afstand,1500.0,3
262,31,1,1,0,1,0,0,1,0,3894,38940.0,4,afstand,1500.0,4
264,17,1,1,0,1,0,0,1,0,3816,38160.0,4,afstand,1500.0,1
265,17,1,1,0,1,0,0,1,0,3816,38160.0,4,afstand,1500.0,2
266,17,1,1,0,1,0,0,1,0,3816,38160.0,4,afstand,1500.0,3
267,17,1,1,0,1,0,0,1,0,3816,38160.0,4,afstand,1500.0,4
268,17,1,1,0,1,0,0,1,0,3904,39040.0,4,afstand,1500.0,1
269,17,1,1,0,1,0,0,1,0,3904,39040.0,4,afstand,1500.0,2
270,17,1,1,0,1,0,0,1,0,3904,39040.0,4,afstand,1500.0,3
271,17,1,1,0,1,0,0,1,0,3904,39040.0,4,afstand,1500.0,4
276,17,1,1,0,1,0,0,1,0,3941,39410.0,4,afstand,1500.0,1
277,17,1,1,0,1,0,0,1,0,3941,39410.0,4,afstand,1500.0,2
278,17,1,1,0,1,0,0,1,0,3941,39410.0,4,afstand,1500.0,3
279,17,1,1,0,1,0,0,1,0,3941,39410.0,4,afstand,1500.0,4
280,17,1,1,0,1,0,0,1,0,3718,37180.0,4,afstand,1500.0,1
281,17,1,1,0,1,0,0,1,0,3718,37180.0,4,afstand,1500.0,2
282,17,1,1,0,1,0,0,1,0,3718,37180.0,4,afstand,1500.0,3
283,17,1,1,0,1,0,0,1,0,3718,37180.0,4,afstand,1500.0,4
284,17,1,1,0,1,0,0,1,0,3894,38940.0,4,afstand,1500.0,1
285,17,1,1,0,1,0,0,1,0,3894,38940.0,4,afstand,1500.0,2
286,17,1,1,0,1,0,0,1,0,3894,38940.0,4,afstand,1500.0,3
287,17,1,1,0,1,0,0,1,0,3894,38940.0,4,afstand,1500.0,4
289,10,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,1000.0,1
290,10,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,1000.0,2
291,10,1,1,0,1,0,0,1,0,3816,38160.0,3,afstand,1000.0,3
292,10,1,1,0,1,0,0,1,0,3904,39040.0,3,afstand,1000.0,1
